customer_id,first_name,last_name,Emails,first_transaction_date,city,total_transactions,total_transaction_amount
1000,William,Madison:&UNwkfF,"William.Madison@gmail.net,William.Madison@company.org",28-08-2015,Providence,19,4694
1001,Calvin,Jackson:&b5Ao5O,Calvin.Jackson@yahoo.com,02-10-2015,Boston,16,4708
1002,Dwight,Kennedy:&MDJ1Jn,Dwight.Kennedy@gmail.net,23-01-2016,Hartford,5,3408
1003,Richard,Roosevelt:&IYbxra,"Richard.Roosevelt@gmail.org,Richard.Roosevelt@company.com",07-12-2016,Topeka,14,2981
1004,James,Quincy:&KuNqYy,"James.Quincy@yahoo.net,James.Quincy@company.com",07-04-2015,Columbus,12,4423
1005,Zachary,Clinton:&DM4dCw,Zachary.Clinton@gmail.com,28-03-2016,Concord,11,2316
1006,Martin,Harding:&7N87ky,"Martin.Harding@yahoo.org,Martin.Harding@company.org",23-07-2015,Albany,1,2508
1007,Bill,Wilson:&C3OYAH,"Bill.Wilson@yahoo.com,Bill.Wilson@company.org",14-10-2015,Jackson,16,3079
1008,Benjamin,Ford:&jQIv2A,"Benjamin.Ford@yahoo.net,Benjamin.Ford@company.org",25-07-2015,Nashville,16,3394
1009,Richard,Monroe:&zdhBaC,Richard.Monroe@gmail.com,07-04-2015,Sacramento,9,4483
1010,Jimmy,Roosevelt:&s1BS6Z,"Jimmy.Roosevelt@gmail.com,Jimmy.Roosevelt@company.net",06-05-2015,Saint Paul,12,4151
1011,Franklin,Coolidge:&dTYhoY,Franklin.Coolidge@gmail.org,02-01-2016,Santa Fe,7,2748
1012,John,Adams:&QOZ2jR,John.Adams@gmail.net,03-10-2015,Madison,18,3077
1013,Gerald,Johnson:&oNzmGV,Gerald.Johnson@gmail.com,01-05-2016,Charleston,15,2577
1014,Gerald,Monroe:&Rjp0Nv,Gerald.Monroe@gmail.net,23-02-2016,Sacramento,2,2164
1015,Ulysses,Pierce:&d9smEB,Ulysses.Pierce@gmail.net,01-08-2015,Boston,14,4264
1016,Benjamin,Truman:&ESOQyw,Benjamin.Truman@gmail.net,26-09-2016,Bismarck,16,2050
1017,Calvin,Jefferson:&CBGkZx,Calvin.Jefferson@gmail.org,01-09-2015,Providence,7,2994
1018,Zachary,Cleveland:&C8Ogah,"Zachary.Cleveland@gmail.com,Zachary.Cleveland@company.net",02-06-2016,Harrisburg,20,2747
1019,Dwight,Clinton:&5gEsa1,"Dwight.Clinton@yahoo.net,Dwight.Clinton@company.org",19-03-2015,Dover,3,4947
1020,Rutherford,Johnson:&w2KRm6,"Rutherford.Johnson@yahoo.org,Rutherford.Johnson@company.com",26-12-2016,Helena,1,4992
1021,Ronald,Pierce:&UOSo7D,Ronald.Pierce@gmail.org,18-02-2015,Nashville,19,2349
1022,Andrew,Clinton:&pox7rt,"Andrew.Clinton@yahoo.net,Andrew.Clinton@company.com",25-10-2015,Montpelier,18,3706
1023,Millard,Roosevelt:&v1HKAR,Millard.Roosevelt@gmail.net,27-08-2016,Nashville,12,3633
1024,William,Roosevelt:&xI5cRQ,William.Roosevelt@yahoo.com,25-07-2016,Charleston,6,2069
1025,Warren,Roosevelt:&PnF0T8,Warren.Roosevelt@gmail.com,10-09-2016,Denver,19,3668
1026,Franklin,Johnson:&GRtN1w,Franklin.Johnson@yahoo.org,15-05-2015,Saint Paul,10,3292
1027,Millard,Fillmore:&fbZTDq,Millard.Fillmore@yahoo.org,11-08-2016,Raleigh,15,3775
1028,Abraham,Garfield:&ghYVmj,Abraham.Garfield@yahoo.net,17-02-2016,Des Moines,20,4898
1029,William,Ford:&WMolYj,William.Ford@yahoo.com,13-02-2016,Boise,17,2181
1030,Ulysses,Harrison:&AnHf5U,"Ulysses.Harrison@gmail.com,Ulysses.Harrison@company.net",14-07-2016,Saint Paul,3,2649
1031,Calvin,Washington:&yoprBz,Calvin.Washington@gmail.com,25-11-2016,Pierre,3,4194
1032,Abraham,Arthur:&JcD81H,"Abraham.Arthur@gmail.org,Abraham.Arthur@company.org",31-05-2015,Helena,9,3460
1033,Calvin,Clinton:&zBkVWB,"Calvin.Clinton@gmail.org,Calvin.Clinton@company.org",27-09-2016,Montpelier,3,3444
1034,Jimmy,Polk:&AudSwZ,Jimmy.Polk@gmail.org,21-12-2015,Topeka,18,2583
1035,Bill,Roosevelt:&uqKPI1,Bill.Roosevelt@gmail.org,23-09-2015,Nashville,12,4807
